index;academic year;school year;admission rate;school
741;2024/2025;5;100.0;394
742;2022/2023;1;100.0;396
743;2022/2023;2;99.46236559139786;396
744;2022/2023;3;99.40476190476191;396
745;2023/2024;1;100.0;396
746;2023/2024;2;99.36305732484077;396
747;2023/2024;3;100.0;396
748;2024/2025;1;98.7878787878788;396
749;2024/2025;2;100.0;396
750;2024/2025;3;97.40259740259741;396
751;2022/2023;1;96.61016949152543;395
752;2022/2023;2;97.10144927536231;395
753;2022/2023;3;100.0;395
754;2022/2023;4;100.0;395
755;2022/2023;5;100.0;395
756;2023/2024;1;100.0;395
757;2023/2024;2;100.0;395
758;2023/2024;3;100.0;395
759;2023/2024;4;100.0;395
760;2023/2024;5;100.0;395
761;2024/2025;1;100.0;395
762;2024/2025;2;100.0;395
763;2024/2025;3;100.0;395
764;2024/2025;4;100.0;395
765;2024/2025;5;100.0;395
766;2022/2023;1;100.0;213
767;2022/2023;2;100.0;213
768;2022/2023;3;100.0;213
769;2022/2023;4;100.0;213
770;2022/2023;5;100.0;213
771;2023/2024;1;97.05882352941177;213
772;2023/2024;2;100.0;213
773;2023/2024;3;100.0;213
774;2023/2024;4;100.0;213
775;2023/2024;5;100.0;213
776;2024/2025;1;100.0;213
777;2024/2025;2;100.0;213
778;2024/2025;3;100.0;213
779;2024/2025;4;100.0;213
780;2024/2025;5;100.0;213
781;2022/2023;1;100.0;214
782;2022/2023;2;100.0;214
783;2022/2023;3;100.0;214
784;2023/2024;1;94.28571428571428;214
785;2023/2024;2;100.0;214
786;2023/2024;3;97.77777777777777;214
787;2024/2025;1;94.87179487179486;214
788;2024/2025;2;100.0;214
789;2024/2025;3;100.0;214
790;2022/2023;1;100.0;295
791;2022/2023;2;98.57142857142858;295
792;2022/2023;3;100.0;295
793;2022/2023;4;100.0;295
794;2022/2023;5;100.0;295
795;2023/2024;1;98.7012987012987;295
796;2023/2024;2;100.0;295
797;2023/2024;3;100.0;295
798;2023/2024;4;100.0;295
799;2023/2024;5;100.0;295
800;2024/2025;1;100.0;295
801;2024/2025;2;100.0;295
802;2024/2025;3;100.0;295
803;2024/2025;4;100.0;295
804;2024/2025;5;100.0;295
805;2022/2023;1;100.0;294
806;2022/2023;2;100.0;294
807;2022/2023;3;100.0;294
808;2022/2023;4;100.0;294
809;2022/2023;5;100.0;294
810;2023/2024;1;100.0;294
811;2023/2024;2;100.0;294
812;2023/2024;3;100.0;294
813;2023/2024;4;100.0;294
814;2023/2024;5;100.0;294
815;2024/2025;1;100.0;294
816;2024/2025;2;100.0;294
817;2024/2025;3;100.0;294
818;2024/2025;4;100.0;294
819;2024/2025;5;100.0;294
820;2022/2023;1;100.0;296
821;2022/2023;2;100.0;296
822;2022/2023;3;100.0;296
823;2022/2023;4;100.0;296
824;2022/2023;5;100.0;296
825;2023/2024;1;100.0;296
