main institute;school;miur code;entity;address;miur code list;school count;check
coordinamento pedagogico scuole provinciali dell'infanzia ladine;scuola dell'infanzia di soraga;;school;strada dolomites, 19 38030;"";3;3
fondazione edmund mach - istituto agrario san michele all'adige;;;institute;via mach, 1 38098;tncf006001|tnta01500b;3;1
fondazione edmund mach - istituto agrario san michele all'adige;capes - settore agricoltura e ambiente;tncf006001;school;via mach, 1 38098;tncf006001|tnta01500b;3;1
fondazione edmund mach - istituto agrario san michele all'adige;istituto tecnico per il settore tecnologico;tnta01500b;school;via mach, 1 38098;tncf006001|tnta01500b;3;1
fondazione edmund mach - istituto agrario san michele all'adige;settore agricoltura e ambiente;tncf006001;school;via mach, 1 38098;tncf006001|tnta01500b;3;1
"istituto comprensivo ala ""antonio bresciani""";;tnic84800q;institute;via don anzelini, 2 38061;tnee84801t|tnic84800q|tnee84802v|tnmm84801r;3;4294967295
"istituto comprensivo ala ""antonio bresciani""";"scuola primaria ""a. betta"" ala";tnee84801t;school;via betta, 9 38061;tnee84801t|tnic84800q|tnee84802v|tnmm84801r;3;4294967295
"istituto comprensivo ala ""antonio bresciani""";"scuola primaria ""m.t. di calcutta"" serravalle";tnee84802v;school;via negrelli - serravalle, 10 38061;tnee84801t|tnic84800q|tnee84802v|tnmm84801r;3;4294967295
"istituto comprensivo ala ""antonio bresciani""";"scuola secondaria di primo grado ""c. battisti"" ala";tnmm84801r;school;via don anzelini, 2 38061;tnee84801t|tnic84800q|tnee84802v|tnmm84801r;3;4294967295
istituto comprensivo aldeno mattarello;;tnic82100q;institute;via della torre franca, 1 38123;tnee821041|tnee82101t|tnmm82102t|tnmm82101r|tnee82103x|tnic82100q|tnee82102v;6;4294967295
istituto comprensivo aldeno mattarello;scuola primaria aldeno;tnee82102v;school;via xxv aprile, 1/a 38060;tnee821041|tnee82101t|tnmm82102t|tnmm82101r|tnee82103x|tnic82100q|tnee82102v;6;4294967295
istituto comprensivo aldeno mattarello;scuola primaria cimone;tnee82103x;school;frazione petrolli, 37 38060;tnee821041|tnee82101t|tnmm82102t|tnmm82101r|tnee82103x|tnic82100q|tnee82102v;6;4294967295
istituto comprensivo aldeno mattarello;scuola primaria mattarello;tnee821041;school;via poli, 11 38123;tnee821041|tnee82101t|tnmm82102t|tnmm82101r|tnee82103x|tnic82100q|tnee82102v;6;4294967295
istituto comprensivo aldeno mattarello;scuola primaria romagnano trento;tnee82101t;school;via ai comuni, 6 38123;tnee821041|tnee82101t|tnmm82102t|tnmm82101r|tnee82103x|tnic82100q|tnee82102v;6;4294967295
istituto comprensivo aldeno mattarello;"scuola secondaria di primo grado ""a. fogazzaro"" mattarello";tnmm82102t;school;via della torre franca, 1 38123;tnee821041|tnee82101t|tnmm82102t|tnmm82101r|tnee82103x|tnic82100q|tnee82102v;6;4294967295
istituto comprensivo aldeno mattarello;scuola secondaria di primo grado aldeno;tnmm82101r;school;via xxv aprile, 1 38060;tnee821041|tnee82101t|tnmm82102t|tnmm82101r|tnee82103x|tnic82100q|tnee82102v;6;4294967295
istituto comprensivo alta val di sole;;tnic832006;institute;via s michele, 11 38026;tnmm832017|tnee83208g|tnic832006|tnee83206d|tnee832029|tnee83207e|tnee83204b;6;4294967295
istituto comprensivo alta val di sole;"scuola primaria ""e. bezzi"" ossana";tnee832029;school;via di s antonio, 21 38026;tnmm832017|tnee83208g|tnic832006|tnee83206d|tnee832029|tnee83207e|tnee83204b;6;4294967295
istituto comprensivo alta val di sole;scuola primaria cogolo di peio;tnee83204b;school;via rosmini, 6 38024;tnmm832017|tnee83208g|tnic832006|tnee83206d|tnee832029|tnee83207e|tnee83204b;6;4294967295
istituto comprensivo alta val di sole;scuola primaria commezzadura;tnee83208g;school;via del comun, 5 38020;tnmm832017|tnee83208g|tnic832006|tnee83206d|tnee832029|tnee83207e|tnee83204b;6;4294967295
